Token        | Line  | Depth | Parent
<div         | 399   | 12    | <div
</div>       | 402   | 12    | Closes <div from 399
<div         | 403   | 12    | <div
</div>       | 408   | 12    | Closes <div from 403
</div>       | 409   | 11    | Closes <div from 394
</div>       | 410   | 10    | Closes <div from 392
<div         | 412   | 10    | <div
<div         | 414   | 11    | <div
<div         | 415   | 12    | <div
<div         | 416   | 13    | <div
</div>       | 416   | 13    | Closes <div from 416
<div         | 417   | 13    | <div
</div>       | 420   | 13    | Closes <div from 417
</div>       | 421   | 12    | Closes <div from 415
<div         | 422   | 12    | <div
<div         | 423   | 13    | <div
</div>       | 423   | 13    | Closes <div from 423
<div         | 424   | 13    | <div
</div>       | 427   | 13    | Closes <div from 424
</div>       | 428   | 12    | Closes <div from 422
</div>       | 429   | 11    | Closes <div from 414
</div>       | 430   | 10    | Closes <div from 412
<div         | 432   | 10    | <div
<div         | 434   | 11    | <div
<div         | 435   | 12    | <div
<div         | 436   | 13    | <div
</div>       | 439   | 13    | Closes <div from 436
@if          | 440   | 13    | <div
<div         | 441   | 14    | @if
</div>       | 444   | 14    | Closes <div from 441
@endif       | 445   | 13    | Closes @if from 440
<div         | 446   | 13    | <div
</div>       | 446   | 13    | Closes <div from 446
<div         | 447   | 13    | <div
</div>       | 450   | 13    | Closes <div from 447
</div>       | 451   | 12    | Closes <div from 435
</div>       | 452   | 11    | Closes <div from 434
<div         | 453   | 11    | <div
</div>       | 455   | 11    | Closes <div from 453
</div>       | 456   | 10    | Closes <div from 432
</div>       | 457   | 9     | Closes <div from 391
</div>       | 458   | 8     | Closes <div from 390
</div>       | 459   | 7     | Closes <div from 336
@endforeach  | 460   | 6     | Closes @foreach from 335
</div>       | 461   | 5     | Closes <div from 334
<div         | 463   | 5     | @if
</div>       | 465   | 5     | Closes <div from 463
@endif       | 466   | 4     | Closes @if from 333
</div>       | 467   | 3     | Closes <div from 313
<div         | 470   | 3     | <div
<div         | 471   | 4     | <div
<div         | 472   | 5     | <div
<div         | 473   | 6     | <div
</div>       | 475   | 6     | Closes <div from 473
<div         | 476   | 6     | <div
</div>       | 479   | 6     | Closes <div from 476
</div>       | 480   | 5     | Closes <div from 472
<div         | 481   | 5     | <div
</div>       | 483   | 5     | Closes <div from 481
</div>       | 484   | 4     | Closes <div from 471
@if          | 485   | 4     | <div
<div         | 486   | 5     | @if
@foreach     | 487   | 6     | <div
<div         | 488   | 7     | @foreach
<div         | 493   | 8     | <div
<div         | 494   | 9     | <div
<div         | 495   | 10    | <div
@foreach     | 496   | 11    | <div
<div         | 497   | 12    | @foreach
</div>       | 501   | 12    | Closes <div from 497
@endforeach  | 502   | 11    | Closes @foreach from 496
</div>       | 503   | 10    | Closes <div from 495
<div         | 504   | 10    | <div
<div         | 505   | 11    | <div
</div>       | 507   | 11    | Closes <div from 505
<div         | 508   | 11    | <div
</div>       | 513   | 11    | Closes <div from 508
</div>       | 514   | 10    | Closes <div from 504
<div         | 516   | 10    | <div
<div         | 518   | 11    | <div
</div>       | 534   | 11    | Closes <div from 518
<div         | 535   | 11    | <div
</div>       | 538   | 11    | Closes <div from 535
</div>       | 539   | 10    | Closes <div from 516
</div>       | 540   | 9     | Closes <div from 494
<div         | 542   | 9     | <div
<div         | 543   | 10    | <div
<div         | 544   | 11    | <div
<div         | 546   | 12    | <div
<div         | 548   | 13    | <div
</div>       | 550   | 13    | Closes <div from 548
</div>       | 551   | 12    | Closes <div from 546
</div>       | 552   | 11    | Closes <div from 544
<div         | 553   | 11    | <div
</div>       | 557   | 11    | Closes <div from 553
<div         | 558   | 11    | <div
</div>       | 561   | 11    | Closes <div from 558
</div>       | 562   | 10    | Closes <div from 543
</div>       | 563   | 9     | Closes <div from 542
</div>       | 564   | 8     | Closes <div from 493
@endforeach  | 565   | 7     | Closes <div from 488
</div>       | 566   | 6     | Closes @foreach from 487
<div         | 568   | 6     | <div
</div>       | 570   | 6     | Closes <div from 568
@endif       | 571   | 5     | Closes <div from 486
</div>       | 572   | 4     | Closes @if from 485
</div>       | 574   | 3     | Closes <div from 470
</div>       | 575   | 2     | Closes <div from 310
<div         | 578   | 2     | <div
<div         | 588   | 3     | <div
</div>       | 588   | 3     | Closes <div from 588
<div         | 590   | 3     | <div
@if          | 595   | 4     | <div
<div         | 598   | 5     | @if
<div         | 599   | 6     | <div
</div>       | 602   | 6     | Closes <div from 599
</div>       | 606   | 5     | Closes <div from 598
<div         | 608   | 5     | @if
<div         | 610   | 6     | <div
<div         | 611   | 7     | <div
<div         | 613   | 8     | <div
@if          | 614   | 9     | <div
@endif       | 618   | 9     | Closes @if from 614
</div>       | 619   | 8     | Closes <div from 613
</div>       | 620   | 7     | Closes <div from 611
<div         | 621   | 7     | <div
</div>       | 624   | 7     | Closes <div from 621
</div>       | 625   | 6     | Closes <div from 610
<div         | 628   | 6     | <div
<div         | 630   | 7     | <div
<div         | 632   | 8     | <div
<div         | 633   | 9     | <div
</div>       | 636   | 9     | Closes <div from 633
<div         | 637   | 9     | <div
</div>       | 640   | 9     | Closes <div from 637
<div         | 641   | 9     | <div
</div>       | 644   | 9     | Closes <div from 641
</div>       | 645   | 8     | Closes <div from 632
</div>       | 646   | 7     | Closes <div from 630
<div         | 649   | 7     | <div
<div         | 651   | 8     | <div
<div         | 652   | 9     | <div
<div         | 654   | 10    | <div
@foreach     | 655   | 11    | <div
<div         | 656   | 12    | @foreach
</div>       | 659   | 12    | Closes <div from 656
@endforeach  | 660   | 11    | Closes @foreach from 655
</div>       | 661   | 10    | Closes <div from 654
</div>       | 662   | 9     | Closes <div from 652
<div         | 663   | 9     | <div
</div>       | 666   | 9     | Closes <div from 663
<div         | 667   | 9     | <div
</div>       | 670   | 9     | Closes <div from 667
</div>       | 671   | 8     | Closes <div from 651
</div>       | 672   | 7     | Closes <div from 649
</div>       | 673   | 6     | Closes <div from 628
<div         | 676   | 6     | <div
<div         | 678   | 7     | <div
@if          | 685   | 8     | <div
@endif       | 690   | 8     | Closes @if from 685
@if          | 695   | 8     | <div
@endif       | 700   | 8     | Closes @if from 695
</div>       | 707   | 7     | Closes <div from 678
</div>       | 708   | 6     | Closes <div from 676
</div>       | 709   | 5     | Closes <div from 608
<div         | 712   | 5     | @if
</div>       | 717   | 5     | Closes <div from 712
<div         | 719   | 5     | @if
<div         | 720   | 6     | <div
</div>       | 720   | 6     | Closes <div from 720
</div>       | 722   | 5     | Closes <div from 719
@endif       | 723   | 4     | Closes @if from 595
</div>       | 724   | 3     | Closes <div from 590
</div>       | 725   | 2     | Closes <div from 578
</div>       | 726   | 1     | Closes <div from 1
