Token        | Line  | Depth | Parent
</div>       | 400   | 11    | Closes <div from 397
<div         | 401   | 11    | <div
</div>       | 404   | 11    | Closes <div from 401
<div         | 405   | 11    | <div
</div>       | 410   | 11    | Closes <div from 405
</div>       | 411   | 10    | Closes <div from 396
</div>       | 412   | 9     | Closes <div from 394
<div         | 414   | 9     | <div
<div         | 416   | 10    | <div
<div         | 417   | 11    | <div
<div         | 418   | 12    | <div
</div>       | 418   | 12    | Closes <div from 418
<div         | 419   | 12    | <div
</div>       | 422   | 12    | Closes <div from 419
</div>       | 423   | 11    | Closes <div from 417
<div         | 424   | 11    | <div
<div         | 425   | 12    | <div
</div>       | 425   | 12    | Closes <div from 425
<div         | 426   | 12    | <div
</div>       | 429   | 12    | Closes <div from 426
</div>       | 430   | 11    | Closes <div from 424
</div>       | 431   | 10    | Closes <div from 416
</div>       | 432   | 9     | Closes <div from 414
<div         | 434   | 9     | <div
<div         | 436   | 10    | <div
<div         | 437   | 11    | <div
<div         | 438   | 12    | <div
</div>       | 441   | 12    | Closes <div from 438
@if          | 442   | 12    | <div
<div         | 443   | 13    | @if
</div>       | 446   | 13    | Closes <div from 443
@endif       | 447   | 12    | Closes @if from 442
<div         | 448   | 12    | <div
</div>       | 448   | 12    | Closes <div from 448
<div         | 449   | 12    | <div
</div>       | 452   | 12    | Closes <div from 449
</div>       | 453   | 11    | Closes <div from 437
</div>       | 454   | 10    | Closes <div from 436
<div         | 455   | 10    | <div
</div>       | 457   | 10    | Closes <div from 455
</div>       | 458   | 9     | Closes <div from 434
</div>       | 459   | 8     | Closes <div from 393
</div>       | 460   | 7     | Closes <div from 392
</div>       | 461   | 6     | Closes @foreach from 336
@endforeach  | 462   | 5     | Closes <div from 335
</div>       | 463   | 4     | Closes @if from 334
<div         | 465   | 4     | <div
</div>       | 467   | 4     | Closes <div from 465
@endif       | 468   | 3     | Closes <div from 314
</div>       | 469   | 2     | Closes <div from 311
<div         | 472   | 2     | <div
<div         | 473   | 3     | <div
<div         | 474   | 4     | <div
<div         | 475   | 5     | <div
</div>       | 477   | 5     | Closes <div from 475
<div         | 478   | 5     | <div
</div>       | 481   | 5     | Closes <div from 478
</div>       | 482   | 4     | Closes <div from 474
<div         | 483   | 4     | <div
</div>       | 485   | 4     | Closes <div from 483
</div>       | 486   | 3     | Closes <div from 473
@if          | 487   | 3     | <div
<div         | 488   | 4     | @if
@foreach     | 489   | 5     | <div
<div         | 490   | 6     | @foreach
<div         | 495   | 7     | <div
<div         | 496   | 8     | <div
<div         | 497   | 9     | <div
@foreach     | 498   | 10    | <div
<div         | 499   | 11    | @foreach
</div>       | 503   | 11    | Closes <div from 499
@endforeach  | 504   | 10    | Closes @foreach from 498
</div>       | 505   | 9     | Closes <div from 497
<div         | 506   | 9     | <div
<div         | 507   | 10    | <div
</div>       | 509   | 10    | Closes <div from 507
<div         | 510   | 10    | <div
</div>       | 516   | 10    | Closes <div from 510
</div>       | 517   | 9     | Closes <div from 506
<div         | 519   | 9     | <div
<div         | 521   | 10    | <div
</div>       | 537   | 10    | Closes <div from 521
<div         | 538   | 10    | <div
</div>       | 541   | 10    | Closes <div from 538
</div>       | 542   | 9     | Closes <div from 519
</div>       | 543   | 8     | Closes <div from 496
<div         | 545   | 8     | <div
<div         | 546   | 9     | <div
<div         | 547   | 10    | <div
<div         | 549   | 11    | <div
<div         | 551   | 12    | <div
</div>       | 553   | 12    | Closes <div from 551
</div>       | 554   | 11    | Closes <div from 549
</div>       | 555   | 10    | Closes <div from 547
<div         | 556   | 10    | <div
</div>       | 560   | 10    | Closes <div from 556
<div         | 561   | 10    | <div
</div>       | 564   | 10    | Closes <div from 561
</div>       | 565   | 9     | Closes <div from 546
</div>       | 566   | 8     | Closes <div from 545
</div>       | 567   | 7     | Closes <div from 495
@endforeach  | 568   | 6     | Closes <div from 490
</div>       | 569   | 5     | Closes @foreach from 489
<div         | 571   | 5     | <div
</div>       | 573   | 5     | Closes <div from 571
@endif       | 574   | 4     | Closes <div from 488
</div>       | 575   | 3     | Closes @if from 487
</div>       | 577   | 2     | Closes <div from 472
</div>       | 578   | 1     | Closes <div from 1
<div         | 581   | 1     | Root
<div         | 591   | 2     | <div
</div>       | 591   | 2     | Closes <div from 591
<div         | 593   | 2     | <div
@if          | 598   | 3     | <div
<div         | 601   | 4     | @if
<div         | 602   | 5     | <div
</div>       | 605   | 5     | Closes <div from 602
</div>       | 609   | 4     | Closes <div from 601
<div         | 611   | 4     | @if
<div         | 613   | 5     | <div
<div         | 614   | 6     | <div
<div         | 616   | 7     | <div
@if          | 617   | 8     | <div
@endif       | 621   | 8     | Closes @if from 617
</div>       | 622   | 7     | Closes <div from 616
</div>       | 623   | 6     | Closes <div from 614
<div         | 624   | 6     | <div
</div>       | 627   | 6     | Closes <div from 624
</div>       | 628   | 5     | Closes <div from 613
<div         | 631   | 5     | <div
<div         | 633   | 6     | <div
<div         | 635   | 7     | <div
<div         | 636   | 8     | <div
</div>       | 639   | 8     | Closes <div from 636
<div         | 640   | 8     | <div
</div>       | 643   | 8     | Closes <div from 640
<div         | 644   | 8     | <div
</div>       | 647   | 8     | Closes <div from 644
</div>       | 648   | 7     | Closes <div from 635
</div>       | 649   | 6     | Closes <div from 633
<div         | 652   | 6     | <div
<div         | 654   | 7     | <div
<div         | 655   | 8     | <div
<div         | 657   | 9     | <div
@foreach     | 658   | 10    | <div
<div         | 659   | 11    | @foreach
</div>       | 662   | 11    | Closes <div from 659
@endforeach  | 663   | 10    | Closes @foreach from 658
</div>       | 664   | 9     | Closes <div from 657
</div>       | 665   | 8     | Closes <div from 655
<div         | 666   | 8     | <div
</div>       | 669   | 8     | Closes <div from 666
<div         | 670   | 8     | <div
</div>       | 673   | 8     | Closes <div from 670
</div>       | 674   | 7     | Closes <div from 654
</div>       | 675   | 6     | Closes <div from 652
</div>       | 676   | 5     | Closes <div from 631
<div         | 679   | 5     | <div
<div         | 681   | 6     | <div
@if          | 688   | 7     | <div
@endif       | 693   | 7     | Closes @if from 688
@if          | 698   | 7     | <div
@endif       | 703   | 7     | Closes @if from 698
</div>       | 710   | 6     | Closes <div from 681
</div>       | 711   | 5     | Closes <div from 679
</div>       | 712   | 4     | Closes <div from 611
<div         | 715   | 4     | @if
</div>       | 720   | 4     | Closes <div from 715
<div         | 722   | 4     | @if
<div         | 723   | 5     | <div
</div>       | 723   | 5     | Closes <div from 723
</div>       | 725   | 4     | Closes <div from 722
@endif       | 726   | 3     | Closes @if from 598
</div>       | 727   | 2     | Closes <div from 593
</div>       | 728   | 1     | Closes <div from 581
